permit_id,application_number,service_id,region_id,request_date,completion_date,processing_days,status,channel
35,PERM-2023-00035,S1,R2,2023-06-16,2023-06-19,3,Completed,Online Portal
36,PERM-2024-00036,S1,R1,2024-01-23,2024-01-24,1,Completed,Mobile App
37,PERM-2024-00037,S1,R2,2024-08-23,2024-08-24,1,Completed,Online Portal
38,PERM-2023-00038,S2,R1,2023-11-12,2023-11-13,1,Completed,Online Portal
39,PERM-2023-00039,S2,R1,2023-01-14,2023-01-15,1,Completed,Mobile App
40,PERM-2023-00040,S2,R2,2023-08-30,2023-09-02,3,Completed,Online Portal
41,PERM-2025-00041,S2,R1,2025-02-15,2025-02-17,2,Completed,Mobile App
42,PERM-2024-00042,S3,R2,2024-07-18,,2,Under Review,Online Portal
43,PERM-2025-00043,S1,R3,2025-06-16,2025-06-17,1,Completed,Online Portal
44,PERM-2023-00044,S2,R3,2023-04-02,2023-04-04,2,Completed,Online Portal
45,PERM-2025-00045,S3,R4,2025-08-13,2025-09-01,19,Completed,Kiosk
46,PERM-2024-00046,S1,R1,2024-05-23,2024-05-25,2,Completed,Mobile App
47,PERM-2025-00047,S1,R1,2025-02-14,2025-02-16,2,Completed,Mobile App
48,PERM-2023-00048,S4,R2,2023-02-04,2023-02-06,2,Completed,Online Portal
49,PERM-2023-00049,S2,R1,2023-07-25,2023-07-26,1,Completed,Online Portal
50,PERM-2025-00050,S2,R2,2025-10-22,2025-11-04,13,Completed,Kiosk
51,PERM-2025-00051,S1,R2,2025-10-18,2025-10-19,1,Completed,Online Portal
52,PERM-2024-00052,S2,R2,2024-07-19,2024-07-20,1,Completed,Online Portal
53,PERM-2024-00053,S2,R1,2024-12-03,2024-12-05,2,Completed,Mobile App
54,PERM-2024-00054,S1,R1,2024-02-06,2024-02-08,2,Rejected,Online Portal
55,PERM-2024-00055,S2,R1,2024-12-30,2025-01-19,20,Rejected,Service Center
56,PERM-2023-00056,S1,R1,2023-06-11,2023-06-12,1,Completed,Mobile App
57,PERM-2023-00057,S2,R3,2023-07-21,2023-07-23,2,Completed,Online Portal
58,PERM-2025-00058,S1,R1,2025-09-22,2025-09-25,3,Completed,Online Portal
59,PERM-2023-00059,S1,R1,2023-09-27,2023-09-29,2,Completed,Online Portal
60,PERM-2025-00060,S1,R1,2025-03-26,2025-04-19,24,Completed,Service Center
61,PERM-2024-00061,S1,R2,2024-03-31,2024-04-01,1,Completed,Mobile App
62,PERM-2025-00062,S4,R2,2025-10-13,2025-10-14,1,Completed,Online Portal
63,PERM-2023-00063,S1,R1,2023-10-23,2023-10-24,1,Completed,Online Portal
64,PERM-2024-00064,S2,R1,2024-12-20,2024-12-23,3,Completed,Mobile App
65,PERM-2023-00065,S1,R1,2023-12-04,2023-12-06,2,Completed,Mobile App
66,PERM-2025-00066,S2,R1,2025-05-28,2025-05-30,2,Completed,Online Portal
67,PERM-2025-00067,S5,R2,2025-12-12,,11,Under Review,Online Portal
68,PERM-2025-00068,S1,R2,2025-03-02,2025-03-05,3,Completed,Online Portal
69,PERM-2023-00069,S5,R1,2023-08-05,2023-08-15,10,Completed,Mobile App
70,PERM-2025-00070,S1,R1,2025-02-02,2025-02-17,15,Completed,Kiosk
71,PERM-2023-00071,S2,R5,2023-07-07,2023-07-09,2,Completed,Online Portal
72,PERM-2024-00072,S2,R1,2024-01-15,2024-01-18,3,Completed,Mobile App
73,PERM-2024-00073,S4,R2,2024-05-07,2024-05-08,1,Completed,Online Portal
74,PERM-2025-00074,S2,R1,2025-11-30,2025-12-02,2,Completed,Online Portal
75,PERM-2023-00075,S2,R1,2023-01-15,2023-01-17,2,Completed,Online Portal
76,PERM-2023-00076,S1,R1,2023-03-06,,16,Under Review,Service Center
77,PERM-2024-00077,S1,R1,2024-06-04,2024-06-07,3,Completed,Online Portal
78,PERM-2024-00078,S4,R5,2024-10-09,,2,Under Review,Mobile App
79,PERM-2025-00079,S2,R1,2025-12-22,2025-12-25,3,Completed,Online Portal
80,PERM-2024-00080,S2,R1,2024-08-15,2024-08-18,3,Completed,Online Portal
81,PERM-2024-00081,S3,R1,2024-01-27,2024-01-28,1,Completed,Online Portal
82,PERM-2024-00082,S2,R1,2024-02-23,2024-02-25,2,Completed,Mobile App
83,PERM-2023-00083,S5,R1,2023-10-16,2023-10-25,9,Completed,Online Portal
84,PERM-2024-00084,S2,R1,2024-01-14,2024-01-17,3,Completed,Mobile App
85,PERM-2023-00085,S2,R2,2023-08-19,2023-08-22,3,Completed,Online Portal
86,PERM-2025-00086,S4,R1,2025-10-14,,3,Under Review,Online Portal
87,PERM-2023-00087,S1,R1,2023-02-10,2023-02-12,2,Completed,Online Portal
88,PERM-2025-00088,S1,R4,2025-11-17,2025-11-20,3,Completed,Online Portal
89,PERM-2023-00089,S2,R1,2023-05-15,2023-05-17,2,Completed,Online Portal
90,PERM-2023-00090,S1,R4,2023-07-20,2023-07-23,3,Completed,Online Portal
91,PERM-2025-00091,S2,R1,2025-02-18,2025-02-20,2,Completed,Mobile App
92,PERM-2025-00092,S4,R3,2025-07-18,2025-07-20,2,Completed,Mobile App
93,PERM-2025-00093,S2,R2,2025-11-22,2025-11-23,1,Completed,Online Portal
94,PERM-2025-00094,S2,R3,2025-12-07,,1,Under Review,Online Portal
95,PERM-2024-00095,S5,R5,2024-05-17,2024-05-26,9,Completed,Online Portal
96,PERM-2024-00096,S2,R1,2024-02-11,2024-02-13,2,Completed,Online Portal
97,PERM-2025-00097,S2,R5,2025-03-15,2025-03-17,2,Completed,Online Portal
98,PERM-2023-00098,S2,R1,2023-04-09,2023-05-04,25,Completed,Service Center
99,PERM-2024-00099,S4,R1,2024-11-14,2024-11-15,1,Completed,Online Portal
100,PERM-2024-00100,S2,R1,2024-12-26,2024-12-27,1,Completed,Online Portal
101,PERM-2025-00101,S3,R1,2025-08-18,,1,Under Review,Online Portal
102,PERM-2024-00102,S3,R1,2024-09-04,2024-09-07,3,Completed,Online Portal
103,PERM-2024-00103,S2,R2,2024-10-04,2024-10-07,3,Completed,Mobile App
104,PERM-2025-00104,S2,R1,2025-10-25,2025-10-27,2,Completed,Online Portal
105,PERM-2024-00105,S3,R2,2024-05-17,2024-05-18,1,Completed,Online Portal
106,PERM-2025-00106,S2,R3,2025-02-05,2025-02-07,2,Completed,Mobile App
107,PERM-2024-00107,S3,R1,2024-02-02,2024-02-05,3,Completed,Online Portal
108,PERM-2025-00108,S5,R1,2025-05-20,2025-05-31,11,Completed,Mobile App
109,PERM-2025-00109,S2,R1,2025-03-05,2025-03-08,3,Completed,Mobile App
110,PERM-2024-00110,S2,R1,2024-01-28,2024-01-29,1,Completed,Online Portal
111,PERM-2023-00111,S3,R1,2023-07-26,2023-07-29,3,Completed,Mobile App
112,PERM-2025-00112,S3,R1,2025-11-04,2025-11-05,1,Completed,Online Portal
113,PERM-2025-00113,S2,R1,2025-06-10,2025-06-13,3,Completed,Mobile App
114,PERM-2025-00114,S1,R5,2025-05-13,,1,Under Review,Online Portal
115,PERM-2025-00115,S2,R2,2025-01-12,2025-01-14,2,Completed,Online Portal
116,PERM-2024-00116,S2,R1,2024-07-17,2024-07-20,3,Completed,Mobile App
117,PERM-2025-00117,S2,R2,2025-10-17,,15,Under Review,Service Center
118,PERM-2023-00118,S2,R1,2023-04-06,,19,Under Review,Kiosk
119,PERM-2024-00119,S2,R1,2024-04-29,2024-04-30,1,Completed,Mobile App
120,PERM-2023-00120,S2,R2,2023-08-19,2023-08-22,3,Completed,Online Portal
121,PERM-2025-00121,S1,R1,2025-01-18,2025-01-21,3,Completed,Online Portal
122,PERM-2024-00122,S2,R1,2024-06-24,2024-06-27,3,Completed,Online Portal
123,PERM-2025-00123,S2,R5,2025-11-25,2025-11-26,1,Completed,Online Portal
124,PERM-2024-00124,S1,R3,2024-06-08,2024-06-09,1,Completed,Online Portal
125,PERM-2024-00125,S1,R2,2024-07-31,,15,Under Review,Service Center
126,PERM-2024-00126,S2,R2,2024-11-12,2024-11-15,3,Completed,Online Portal
127,PERM-2024-00127,S2,R2,2024-07-10,2024-07-12,2,Completed,Online Portal
128,PERM-2025-00128,S1,R1,2025-10-09,2025-10-11,2,Completed,Online Portal
129,PERM-2024-00129,S5,R1,2024-10-07,2024-10-28,21,Rejected,Service Center
130,PERM-2025-00130,S2,R1,2025-03-06,2025-03-07,1,Completed,Mobile App
131,PERM-2025-00131,S5,R1,2025-11-17,2025-11-28,11,Completed,Mobile App
132,PERM-2023-00132,S2,R1,2023-07-09,2023-07-12,3,Completed,Online Portal
133,PERM-2024-00133,S2,R1,2024-09-24,2024-10-18,24,Completed,Service Center
134,PERM-2024-00134,S4,R5,2024-09-19,2024-09-20,1,Completed,Online Portal
135,PERM-2025-00135,S2,R4,2025-08-30,2025-09-17,18,Rejected,Service Center
136,PERM-2024-00136,S2,R2,2024-12-10,2024-12-11,1,Completed,Mobile App
137,PERM-2024-00137,S1,R1,2024-10-10,2024-10-12,2,Completed,Online Portal
138,PERM-2023-00138,S2,R3,2023-11-14,2023-11-16,2,Completed,Online Portal
139,PERM-2024-00139,S1,R1,2024-11-14,2024-11-17,3,Completed,Mobile App
140,PERM-2024-00140,S1,R2,2024-10-25,2024-10-28,3,Completed,Online Portal
141,PERM-2024-00141,S1,R1,2024-03-17,2024-03-29,12,Rejected,Service Center
142,PERM-2024-00142,S1,R2,2024-07-17,2024-07-18,1,Completed,Online Portal
143,PERM-2025-00143,S5,R1,2025-08-09,2025-08-20,11,Completed,Online Portal
144,PERM-2024-00144,S1,R3,2024-11-29,2024-12-01,2,Completed,Online Portal
145,PERM-2023-00145,S2,R4,2023-04-23,2023-04-25,2,Completed,Online Portal
146,PERM-2023-00146,S3,R1,2023-01-02,2023-01-05,3,Completed,Online Portal
147,PERM-2024-00147,S2,R1,2024-10-03,2024-10-06,3,Completed,Online Portal
148,PERM-2023-00148,S1,R5,2023-08-08,2023-08-09,1,Rejected,Mobile App
149,PERM-2025-00149,S2,R1,2025-05-04,2025-05-05,1,Completed,Online Portal
150,PERM-2024-00150,S2,R3,2024-01-20,2024-02-01,12,Completed,Kiosk
151,PERM-2025-00151,S2,R2,2025-12-12,2025-12-13,1,Completed,Mobile App
152,PERM-2024-00152,S3,R1,2024-12-30,,18,Under Review,Service Center
153,PERM-2023-00153,S5,R1,2023-09-04,2023-09-13,9,Completed,Online Portal
154,PERM-2025-00154,S2,R1,2025-04-15,2025-04-17,2,Completed,Online Portal
155,PERM-2023-00155,S2,R2,2023-07-22,2023-07-24,2,Completed,Online Portal
156,PERM-2023-00156,S2,R1,2023-05-03,2023-05-06,3,Completed,Mobile App
157,PERM-2024-00157,S1,R1,2024-02-05,,14,Under Review,Service Center
158,PERM-2025-00158,S4,R1,2025-02-05,2025-02-07,2,Completed,Online Portal
159,PERM-2023-00159,S1,R2,2023-10-21,2023-10-24,3,Completed,Online Portal
160,PERM-2023-00160,S2,R3,2023-10-07,,22,Under Review,Service Center
161,PERM-2025-00161,S3,R5,2025-06-02,,2,Under Review,Online Portal
162,PERM-2023-00162,S2,R1,2023-07-17,2023-07-19,2,Completed,Mobile App
163,PERM-2025-00163,S2,R3,2025-09-08,2025-09-09,1,Completed,Mobile App
164,PERM-2025-00164,S2,R2,2025-01-21,2025-02-12,22,Rejected,Service Center
165,PERM-2023-00165,S3,R2,2023-05-24,2023-05-27,3,Completed,Online Portal
166,PERM-2024-00166,S2,R4,2024-08-31,2024-09-03,3,Completed,Online Portal
167,PERM-2023-00167,S3,R1,2023-07-06,2023-07-07,1,Completed,Mobile App
168,PERM-2024-00168,S1,R1,2024-04-08,2024-04-21,13,Rejected,Service Center
169,PERM-2024-00169,S3,R3,2024-10-21,2024-10-23,2,Completed,Online Portal
170,PERM-2025-00170,S3,R1,2025-02-02,2025-02-05,3,Completed,Online Portal
171,PERM-2025-00171,S1,R3,2025-08-12,2025-08-13,1,Completed,Mobile App
172,PERM-2024-00172,S2,R3,2024-02-07,2024-02-27,20,Completed,Service Center
173,PERM-2023-00173,S1,R1,2023-05-27,,15,Under Review,Service Center
174,PERM-2025-00174,S2,R3,2025-05-13,,19,Under Review,Kiosk
175,PERM-2024-00175,S2,R1,2024-05-03,2024-05-06,3,Completed,Online Portal
176,PERM-2025-00176,S2,R1,2025-07-17,2025-07-19,2,Completed,Online Portal
177,PERM-2024-00177,S1,R2,2024-07-04,2024-07-07,3,Completed,Mobile App
178,PERM-2023-00178,S1,R4,2023-12-04,,24,Under Review,Service Center
179,PERM-2025-00179,S1,R1,2025-05-21,2025-05-23,2,Completed,Online Portal
180,PERM-2024-00180,S2,R1,2024-10-02,2024-10-04,2,Completed,Online Portal
181,PERM-2024-00181,S2,R2,2024-04-17,2024-04-18,1,Completed,Mobile App
182,PERM-2023-00182,S3,R2,2023-05-31,2023-06-01,1,Completed,Online Portal
183,PERM-2023-00183,S2,R2,2023-09-20,2023-09-23,3,Completed,Online Portal
184,PERM-2023-00184,S2,R1,2023-05-24,2023-05-25,1,Completed,Mobile App
185,PERM-2023-00185,S5,R1,2023-12-12,2023-12-22,10,Completed,Mobile App
186,PERM-2024-00186,S2,R1,2024-09-15,2024-09-16,1,Completed,Mobile App
187,PERM-2025-00187,S5,R3,2025-10-13,2025-10-24,11,Completed,Online Portal
188,PERM-2025-00188,S2,R1,2025-05-30,2025-06-02,3,Completed,Mobile App
189,PERM-2023-00189,S1,R1,2023-01-02,2023-01-05,3,Completed,Mobile App
190,PERM-2025-00190,S1,R4,2025-06-15,2025-06-18,3,Completed,Mobile App
191,PERM-2023-00191,S2,R1,2023-09-11,2023-09-12,1,Completed,Mobile App
192,PERM-2024-00192,S1,R5,2024-03-28,2024-03-29,1,Completed,Online Portal
193,PERM-2025-00193,S2,R2,2025-11-26,2025-11-27,1,Completed,Online Portal
194,PERM-2025-00194,S2,R3,2025-10-11,2025-10-14,3,Completed,Online Portal
195,PERM-2023-00195,S2,R1,2023-01-09,2023-01-10,1,Completed,Online Portal
196,PERM-2025-00196,S2,R1,2025-03-26,2025-03-29,3,Completed,Mobile App
197,PERM-2023-00197,S1,R2,2023-07-27,,13,Under Review,Service Center
198,PERM-2024-00198,S2,R3,2024-02-08,2024-02-11,3,Completed,Mobile App
199,PERM-2023-00199,S2,R2,2023-06-01,2023-06-03,2,Completed,Mobile App
200,PERM-2023-00200,S5,R1,2023-02-23,2023-03-06,11,Completed,Online Portal
201,PERM-2024-00201,S2,R2,2024-09-19,2024-09-20,1,Completed,Online Portal
202,PERM-2024-00202,S5,R2,2024-08-09,2024-08-20,11,Completed,Online Portal
203,PERM-2023-00203,S3,R2,2023-04-14,2023-04-17,3,Completed,Online Portal
204,PERM-2023-00204,S2,R2,2023-09-11,2023-09-14,3,Completed,Online Portal
205,PERM-2024-00205,S1,R3,2024-05-24,2024-05-25,1,Completed,Mobile App
206,PERM-2023-00206,S2,R2,2023-04-09,2023-04-21,12,Completed,Kiosk
207,PERM-2023-00207,S2,R1,2023-06-02,,1,Under Review,Online Portal
208,PERM-2025-00208,S2,R1,2025-07-02,2025-07-03,1,Rejected,Online Portal
209,PERM-2025-00209,S2,R1,2025-05-27,2025-05-30,3,Completed,Mobile App
210,PERM-2023-00210,S2,R1,2023-12-04,2023-12-07,3,Completed,Online Portal
211,PERM-2025-00211,S2,R1,2025-04-01,2025-04-23,22,Completed,Service Center
212,PERM-2025-00212,S2,R1,2025-08-14,2025-08-17,3,Completed,Mobile App
213,PERM-2023-00213,S1,R1,2023-06-10,2023-06-26,16,Rejected,Service Center
214,PERM-2025-00214,S3,R1,2025-03-11,2025-03-14,3,Completed,Online Portal
215,PERM-2024-00215,S1,R3,2024-02-02,2024-02-05,3,Completed,Mobile App
216,PERM-2025-00216,S1,R4,2025-03-26,2025-03-27,1,Completed,Online Portal
217,PERM-2024-00217,S2,R1,2024-02-05,2024-02-06,1,Completed,Mobile App
218,PERM-2024-00218,S2,R4,2024-10-01,2024-10-04,3,Completed,Online Portal
219,PERM-2025-00219,S2,R1,2025-11-22,2025-11-23,1,Rejected,Online Portal
220,PERM-2024-00220,S1,R1,2024-11-18,2024-11-19,1,Completed,Mobile App
221,PERM-2024-00221,S2,R1,2024-04-04,2024-04-05,1,Completed,Mobile App
222,PERM-2025-00222,S2,R1,2025-08-12,2025-09-05,24,Completed,Service Center
223,PERM-2024-00223,S5,R2,2024-04-14,2024-04-25,11,Completed,Mobile App
224,PERM-2025-00224,S5,R2,2025-11-11,,9,Under Review,Mobile App
225,PERM-2025-00225,S2,R1,2025-01-19,2025-01-20,1,Completed,Online Portal
226,PERM-2023-00226,S2,R1,2023-02-07,2023-02-08,1,Completed,Mobile App
227,PERM-2023-00227,S2,R1,2023-08-18,2023-08-19,1,Completed,Mobile App
228,PERM-2024-00228,S1,R1,2024-07-16,2024-07-29,13,Completed,Service Center
229,PERM-2024-00229,S2,R1,2024-03-13,2024-04-05,23,Completed,Service Center
230,PERM-2023-00230,S2,R1,2023-01-27,2023-01-28,1,Completed,Online Portal
231,PERM-2023-00231,S5,R3,2023-08-14,,30,Under Review,Service Center
232,PERM-2025-00232,S1,R4,2025-03-08,2025-03-11,3,Completed,Online Portal
233,PERM-2023-00233,S2,R1,2023-10-11,2023-10-12,1,Completed,Online Portal
234,PERM-2025-00234,S2,R4,2025-05-28,2025-05-29,1,Completed,Mobile App
235,PERM-2025-00235,S2,R1,2025-08-17,2025-08-18,1,Completed,Online Portal
236,PERM-2024-00236,S1,R1,2024-03-28,2024-03-31,3,Completed,Mobile App
237,PERM-2025-00237,S5,R1,2025-10-16,2025-10-25,9,Completed,Online Portal
238,PERM-2025-00238,S2,R2,2025-03-26,2025-03-29,3,Completed,Online Portal
239,PERM-2024-00239,S2,R5,2024-10-20,,2,Under Review,Mobile App
240,PERM-2024-00240,S1,R2,2024-06-30,2024-07-02,2,Completed,Mobile App
241,PERM-2025-00241,S2,R1,2025-12-08,2026-01-01,24,Rejected,Service Center
242,PERM-2023-00242,S2,R2,2023-01-17,2023-01-19,2,Completed,Mobile App
243,PERM-2023-00243,S1,R1,2023-06-07,,1,Under Review,Mobile App
244,PERM-2024-00244,S1,R3,2024-04-21,,2,Under Review,Online Portal
245,PERM-2025-00245,S3,R1,2025-12-05,2025-12-06,1,Completed,Online Portal
246,PERM-2024-00246,S1,R1,2024-06-01,2024-06-03,2,Completed,Online Portal
247,PERM-2023-00247,S1,R2,2023-04-09,2023-04-12,3,Completed,Mobile App
248,PERM-2025-00248,S2,R2,2025-11-26,2025-11-27,1,Completed,Mobile App
249,PERM-2023-00249,S3,R1,2023-10-07,2023-10-10,3,Completed,Online Portal
250,PERM-2024-00250,S1,R2,2024-05-11,,1,Under Review,Mobile App
251,PERM-2023-00251,S2,R1,2023-10-29,2023-10-31,2,Completed,Mobile App
252,PERM-2023-00252,S1,R2,2023-06-30,,3,Under Review,Online Portal
253,PERM-2024-00253,S1,R3,2024-08-29,2024-08-31,2,Completed,Online Portal
254,PERM-2024-00254,S1,R3,2024-11-30,2024-12-25,25,Rejected,Service Center
255,PERM-2025-00255,S3,R2,2025-09-19,2025-09-22,3,Completed,Mobile App
256,PERM-2023-00256,S1,R1,2023-07-10,,16,Under Review,Service Center
257,PERM-2023-00257,S1,R1,2023-09-10,,1,Under Review,Online Portal
258,PERM-2025-00258,S2,R2,2025-09-07,,21,Under Review,Kiosk
259,PERM-2025-00259,S3,R1,2025-07-16,2025-07-17,1,Completed,Online Portal
260,PERM-2023-00260,S1,R1,2023-05-08,2023-05-09,1,Completed,Online Portal
261,PERM-2023-00261,S2,R1,2023-01-18,2023-02-08,21,Rejected,Kiosk
262,PERM-2024-00262,S1,R1,2024-07-19,,3,Under Review,Online Portal
263,PERM-2024-00263,S2,R2,2024-07-23,2024-07-24,1,Completed,Mobile App
264,PERM-2024-00264,S2,R1,2024-11-16,2024-11-17,1,Completed,Online Portal
265,PERM-2024-00265,S2,R2,2024-09-17,2024-09-19,2,Completed,Mobile App
266,PERM-2025-00266,S2,R1,2025-05-03,,25,Under Review,Service Center
267,PERM-2025-00267,S2,R1,2025-08-19,2025-08-22,3,Completed,Online Portal
268,PERM-2023-00268,S1,R1,2023-06-04,2023-06-06,2,Completed,Mobile App
269,PERM-2024-00269,S2,R1,2024-05-04,2024-05-07,3,Completed,Online Portal
270,PERM-2025-00270,S1,R1,2025-02-23,2025-02-25,2,Completed,Mobile App
271,PERM-2023-00271,S3,R2,2023-09-03,2023-09-06,3,Completed,Online Portal
272,PERM-2025-00272,S5,R1,2025-11-28,2025-12-08,10,Completed,Online Portal
273,PERM-2025-00273,S5,R3,2025-01-28,2025-02-08,11,Completed,Online Portal
274,PERM-2024-00274,S3,R1,2024-06-21,2024-06-24,3,Completed,Online Portal
275,PERM-2025-00275,S2,R1,2025-07-09,2025-07-26,17,Completed,Service Center
276,PERM-2024-00276,S2,R2,2024-02-12,2024-02-13,1,Completed,Online Portal
277,PERM-2024-00277,S1,R1,2024-06-08,2024-06-10,2,Completed,Online Portal
278,PERM-2025-00278,S2,R1,2025-04-07,2025-04-10,3,Completed,Online Portal
279,PERM-2025-00279,S2,R1,2025-06-21,2025-06-23,2,Completed,Online Portal
280,PERM-2023-00280,S2,R1,2023-02-05,2023-02-07,2,Completed,Mobile App
281,PERM-2024-00281,S3,R3,2024-11-15,2024-12-01,16,Completed,Kiosk
282,PERM-2023-00282,S1,R1,2023-01-20,2023-01-21,1,Completed,Online Portal
283,PERM-2023-00283,S2,R2,2023-11-17,,22,Under Review,Service Center
284,PERM-2024-00284,S5,R3,2024-05-26,2024-06-04,9,Completed,Mobile App
285,PERM-2024-00285,S1,R1,2024-02-04,2024-02-07,3,Completed,Online Portal
286,PERM-2024-00286,S2,R4,2024-10-15,2024-10-16,1,Completed,Mobile App
287,PERM-2025-00287,S4,R1,2025-08-29,2025-08-31,2,Completed,Mobile App
288,PERM-2024-00288,S2,R5,2024-04-15,,2,Under Review,Mobile App
289,PERM-2025-00289,S2,R1,2025-04-13,2025-05-04,21,Rejected,Service Center
290,PERM-2024-00290,S1,R2,2024-12-27,2024-12-28,1,Completed,Online Portal
291,PERM-2025-00291,S2,R1,2025-05-03,2025-05-19,16,Completed,Service Center
292,PERM-2023-00292,S3,R1,2023-02-20,2023-02-22,2,Completed,Mobile App
293,PERM-2024-00293,S2,R2,2024-07-28,2024-07-30,2,Completed,Online Portal
294,PERM-2023-00294,S2,R2,2023-05-30,2023-06-02,3,Completed,Mobile App
295,PERM-2023-00295,S1,R1,2023-11-10,2023-11-11,1,Completed,Online Portal
296,PERM-2024-00296,S1,R1,2024-07-23,2024-08-09,17,Rejected,Kiosk
297,PERM-2023-00297,S5,R2,2023-11-01,2023-11-12,11,Completed,Mobile App
298,PERM-2024-00298,S2,R2,2024-11-12,2024-11-14,2,Completed,Online Portal
299,PERM-2025-00299,S2,R5,2025-04-17,2025-04-18,1,Completed,Online Portal
300,PERM-2025-00300,S1,R2,2025-12-13,2025-12-14,1,Completed,Mobile App
301,PERM-2025-00301,S2,R4,2025-09-29,,2,Under Review,Online Portal
302,PERM-2024-00302,S5,R2,2024-03-19,2024-03-29,10,Completed,Online Portal
303,PERM-2024-00303,S2,R1,2024-09-04,2024-09-05,1,Completed,Online Portal
304,PERM-2025-00304,S1,R1,2025-09-19,2025-09-22,3,Completed,Online Portal
305,PERM-2023-00305,S2,R2,2023-09-21,2023-09-22,1,Completed,Online Portal
306,PERM-2025-00306,S3,R2,2025-12-12,2025-12-15,3,Completed,Online Portal
307,PERM-2025-00307,S2,R1,2025-09-30,2025-10-02,2,Completed,Online Portal
308,PERM-2023-00308,S4,R1,2023-01-05,2023-01-07,2,Completed,Mobile App
309,PERM-2025-00309,S2,R4,2025-02-12,2025-02-15,3,Completed,Mobile App
310,PERM-2025-00310,S4,R1,2025-05-26,,3,Under Review,Online Portal
311,PERM-2025-00311,S2,R1,2025-09-18,2025-09-19,1,Completed,Online Portal
312,PERM-2025-00312,S1,R1,2025-06-02,2025-06-04,2,Completed,Mobile App
313,PERM-2023-00313,S2,R1,2023-02-16,2023-02-18,2,Completed,Online Portal
314,PERM-2025-00314,S1,R1,2025-05-16,2025-05-17,1,Completed,Online Portal
315,PERM-2025-00315,S4,R1,2025-04-02,2025-04-03,1,Completed,Online Portal
316,PERM-2025-00316,S3,R1,2025-07-24,2025-08-16,23,Rejected,Service Center
317,PERM-2024-00317,S2,R2,2024-10-17,2024-10-20,3,Completed,Mobile App
318,PERM-2023-00318,S2,R1,2023-09-26,2023-09-28,2,Completed,Mobile App
319,PERM-2024-00319,S1,R3,2024-01-05,2024-01-07,2,Completed,Mobile App
320,PERM-2024-00320,S3,R3,2024-09-27,2024-09-29,2,Completed,Mobile App
321,PERM-2024-00321,S2,R1,2024-10-18,2024-10-20,2,Completed,Online Portal
